Threads: 1, Time taken: 1.08 seconds
Threads: 2, Time taken: 0.56 seconds
Threads: 4, Time taken: 0.30 seconds
Threads: 8, Time taken: 0.17 seconds
Threads: 16, Time taken: 0.18 seconds
Threads: 32, Time taken: 0.17 seconds
Threads: 64, Time taken: 0.17 seconds
Threads: 128, Time taken: 0.18 seconds
Threads: 256, Time taken: 0.19 seconds
Threads: 512, Time taken: 0.20 seconds
Threads: 1024, Time taken: 0.19 seconds
Threads: 2048, Time taken: 0.19 seconds
